country,summary,country_code(ISO3166),area(sq_km),commencement,continent,languages,no_of_language,vitality,families
Afghanistan,"Afghanistan is a country in Asia that is home to 38,347,000 people. It is also home to 35 living indigenous languages. Two of these, Dari and Southern Pashto, are the official languages of the country. Another, Southern Uzbek, is an official language in part of the country. In addition, 8 living non-indigenous languages are established within the country. In formal education, 3 indigenous languages are used as languages of instruction.",AF,652860,1946,Asia,"dict_keys(['Afghan_Sign_Language', 'Aimaq', 'Ashkun', 'Brahui', 'Dari', 'Degano', 'Gawar-Bati', 'Grangali', 'Hazaragi', 'Inku', 'Ishkashimi', 'Kamviri', 'Kati', 'Mogholi', 'Munji', 'Northeast_Pashai', 'Northwest_Pashai', 'Pahlavani', 'Parachi', 'Prasuni', 'Sanglechi', 'Savi', 'Shughni', 'Shumashti', 'Southeast_Pashai', 'Southern_Pashto', 'Southern_Uzbek', 'Southwest_Pashai', 'Tajiki_Spoken_Arabic', 'Tirahi', 'Tregami', 'Turkmen', 'Waigali', 'Wakhi', 'Western_Balochi'])",35,"['Institutional', '3', 'Stable', '23', 'Endangered', '9', 'Extinct', '0']","dict_keys(['Indo-European', 'Turkic', 'Afro-Asiatic', 'Dravidian', 'Mongolic', 'Sign language'])"
Albania,"Albania is a country in Europe that is home to 2,873,000 people. It is also home to 5 living indigenous languages. One of these, Tosk Albanian, is the official language of the country. In addition, 5 living non-indigenous languages are established within the country. In formal education, 3 indigenous languages are used as languages of instruction.",AL,27400,1955,Europe,"dict_keys(['Albanian_Sign_Language', 'Aromanian', 'Gheg_Albanian', 'Greek', 'Tosk_Albanian'])",5,"['Institutional', '3', 'Stable', '1', 'Endangered', '1', 'Extinct', '0']","dict_keys(['Indo-European', 'Sign language'])"
Algeria,"Algeria is a country in Africa that is home to 44,179,000 people. It is also home to 14 living indigenous languages. It was also home to 1 indigeneous language that is now extinct. In addition, 5 living non-indigenous languages are established within the country. One of these, Standard Arabic, is the official language of the country.",DZ,43851044,1962,Africa,"dict_keys(['Algerian_Jewish_Sign_Language', 'Algerian_Saharan_Spoken_Arabic', 'Algerian_Sign_Language', 'Algerian_Spoken_Arabic', 'Amazigh', 'Chenoua', 'Hassaniyya_Arabic', 'Korandje', 'Tachawit', 'Tagargrent', 'Tahaggart_Tamahaq', 'Taznatit', 'Temacine_Tamazight', 'Tidikelt_Tamazight', 'Tumzabt'])",15,"['Institutional', '2', 'Stable', '5', 'Endangered', '7', 'Extinct', '1']","dict_keys(['Afro-Asiatic', 'Sign language', 'Nilo-Saharan'])"
Andorra,"Andorra is a country in Europe that is home to 79,600 people. It is also home to 3 living indigenous languages. One of these, Catalan, is the official language of the country. In addition, 2 living non-indigenous languages are established within the country. In formal education, 3 indigenous languages are used as languages of instruction.",AD,470,1993,Europe,"dict_keys(['Catalan', 'French', 'Spanish'])",3,"['Institutional', '3', 'Stable', '0', 'Endangered', '0', 'Extinct', '0']",dict_keys(['Indo-European'])
Angola,"Angola is a country in Africa that is home to 33,937,000 people. It is also home to 41 living indigenous languages. It was also home to 1 indigeneous language that is now extinct. In addition, 4 living non-indigenous languages are established within the country. One of these, Portuguese, is the official language of the country.",AO,1246700,1976,Africa,"dict_keys(['Chokwe', 'Dhimba', 'Gciriku', 'Himba', 'Holu', 'Hungu', 'Khongo', 'Khwedam', 'Kibala', 'Kikongo', 'Kimbundu', 'Kuvale', 'Kwadi', 'Kwandu', 'Kwangali', 'Luba-Lulua', 'Luchazi', 'Luimbi', 'Lunda', 'Luvale', 'Makoma', 'Mashi', 'Mbangala', 'Mbukushu', 'Mbunda', 'Mbwela', 'Mpinda', 'Ndombe', 'Ngendelengo', 'Nkangala', 'Nkumbi', 'Northwestern_!Kung', 'Nyaneka', 'Nyemba', 'Nyengo', 'Oshiwambo', 'Songo', 'Suku', 'Umbundu', 'Yaka', 'Yauma', 'Yombe'])",42,"['Institutional', '5', 'Stable', '31', 'Endangered', '5', 'Extinct', '1']","dict_keys(['Niger-Congo', 'Khoe-Kwadi', 'Kx’a'])"
Antigua_and_Barbuda,"Antigua and Barbuda is a country in the Americas that is home to 100,000 people. It is also home to 1 living indigenous language, Leeward Caribbean English Creole. In addition, 1 non-indigenous language, English, is established within the country. It is the official language.",AG,440,1981,North America,dict_keys(['Leeward_Caribbean_English_Creole']),1,"['Institutional', '0', 'Stable', '1', 'Endangered', '0', 'Extinct', '0']",dict_keys(['Creole'])
Argentina,"Argentina is a country in the Americas that is home to 45,809,000 people. It is also home to 14 living indigenous languages. It was also home to 7 indigenous languages that are now extinct. In addition, 11 living non-indigenous languages are established within the country. One of these, Spanish, is the official language of the country.",AR,2736690,1945,South America,"dict_keys(['Abipon', 'Argentine_Sign_Language', 'Bermejo_Wichí', 'Chané', 'Iyojwa ja_Chorote', 'Iyo wujwa_Chorote', 'Lule', 'Mapudungun', 'Mbyá_Guaraní', 'Mocoví', 'Ona', 'Pilagá', 'Pilcomayo_Wichí', 'Puelche', 'Santiago_del_Estero_Quichua', 'South_Bolivian_Quechua', 'Tapieté', 'Tehuelche', 'Toba', 'Vilela', 'Yámana'])",21,"['Institutional', '0', 'Stable', '5', 'Endangered', '9', 'Extinct', '7']","dict_keys(['Guaykuruan', 'Matacoan', 'Language isolate', 'Chon', 'Quechuan', 'Tupian', 'Maipurean', 'Mapudungu', 'Sign language', 'Unclassified'])"
Armenia,"Armenia is a country in Asia that is home to 2,964,000 people. It is also home to 6 living indigenous languages. One of these, Armenian, is the official language of the country. In addition, 5 living non-indigenous languages are established within the country. In formal education, 1 indigenous language is used as a language of instruction.",AM,28470,1992,Asia,"dict_keys(['Armenian', 'Armenian_Sign_Language', 'Lomavren', 'North_Azerbaijani', 'Northern_Kurdish', 'Western_Armenian'])",6,"['Institutional', 2, 'Stable', 2, 'Endangered', 2, 'Extinct', 0]","dict_keys(['Indo-European', 'Mixed language', 'Sign language', 'Turkic'])"
Australia,"Australia is a country in the Pacific that is home to 25,693,000 people. It is also home to 214 living indigenous languages. It was also home to 190 indigenous languages that are now extinct. In addition, 11 living non-indigenous languages are established within the country. One of these, English, is the official language of the country. In formal education, 2 indigenous languages are used as languages of instruction.",AU,7682300,1945,Australia,"dict_keys(['Adithinngithigh', 'Adnyamathanha', 'Aghu-Tharnggala', 'Alawa', 'Alngith', 'Alyawarr', 'Ami', 'Amurdak', 'Andajin', 'Andegerebinha', 'Angkamuthi', 'Anguthimri', 'Anindilyakwa', 'Anmatyerre', 'Antikarinya', 'Arabana', 'Arakwal', 'Areba', 'Arritinngithigh', 'Atampaya', 'Auslan', 'Australian_Aborigines_Sign_Language', 'Awabakal', 'Awngthim', 'Ayabadhu', 'Ayerrerenge', 'Badimaya', 'Badjiri', 'Bandjalang', 'Banyjima', 'Barababaraba', 'Barbaram', 'Bardi', 'Barngarla', 'Barrow_Point', 'Batjala', 'Bayali', 'Bayungu', 'Bibbulman', 'Bidhawal', 'Bidjara', 'Bigambal', 'Bindal', 'Biri', 'Birrpayi', 'Broome_Pearling_Lugger_Pidgin', 'Bruny_Island_Tasmanian', 'Bunganditj', 'Bunuba', 'Burarra', 'Burduna', 'Dadi_Dadi', 'Dagoman', 'Dalabon', 'Darkinyung', 'Daungwurrung', 'Dayi', 'Dhalandji', 'Dhangu-Djangu', 'Dharawal', 'Dhargari', 'Dharuk', 'Dharumbal', 'Dhudhuroa', 'Dhungaloo', 'Dhurga', 'Dhuwal', 'Dhuwaya', 'Diyari', 'Djabugay', 'Djabwurrung', 'Djadjawurrung', 'Djambarrpuyngu', 'Djamindjung', 'Djangun', 'Djauan', 'Djawi', 'Djeebbana', 'Djinang', 'Djinba', 'Djiwarli', 'Dyaberdyaber', 'Dyangadi', 'Dyirbal', 'Dyugun', 'Eastern_Arrernte', 'Erre', 'Flinders_Island', 'Gabi-Gabi', 'Gadjerawang', 'Gagadu', 'Gambera', 'Gamilaraay', 'Ganggalida', 'Gangulu', 'Garig-Ilgar', 'Garingbal', 'Garlali', 'Garrwa', 'Githabul', 'Giyug', 'Golpa', 'Gooniyandi', 'Goreng', 'Gudang', 'Gudanji', 'Gugadj', 'Gugu_Badhun', 'Gugu_Warra', 'Gumatj', 'Gunditjmara', 'Gundungurra', 'Gungabula', 'Gunwinggu', 'Gunya', 'Gupapuyngu', 'Gurdjar', 'Gureng_Gureng', 'Gurindji', 'Gurindji_Kriol', 'Gurr-goni', 'Guugu_Yimidhirr', 'Guwa', 'Guwamu', 'Guyani', 'Ikaranggal', 'Iwaidja', 'Jaitmatang', 'Jandai', 'Jaru', 'Jingulu', 'Kala_Lagaw_Ya', 'Kalaamaya', 'Kalarko', 'Kalkutung', 'Kamu', 'Kanju', 'Karajarri', 'Karenggapa', 'Kariyarra', 'Karuwali', 'Kaurna', 'Kayardild', 'Kaytetye', 'Keerray-Woorroong', 'Kija', 'Kok-Nar', 'Kokata', 'Koko_Babangk', 'Koko-Bera', 'Kriol', 'Kugu-Muminh', 'Kukatja', 'Kuku-Mangk', 'Kuku-Muinh', 'Kuku-Ugbanh', 'Kuku-Uwanh', 'Kuku-Yalanji', 'Kumbainggar', 'Kunbarlang', 'Kungarakany', 'Kungardutyi', 'Kunggari', 'Kungkari', 'Kunjen', 'Kurnai', 'Kurrama', 'Kuthant', 'Kuuk_Thayorre', 'Kuuk-Yak', 'Kuuku-Yau', 'Kuwema', 'Kwini', 'Ladji_Ladji', 'Lamalama', 'Lanima', 'Laragia', 'Lardil', 'Leningitij', 'Limilngan', 'Lower_Burdekin', 'Lower_Southern_Aranda', 'Madhi_Madhi', 'Malak_Malak', 'Malgana', 'Malyangapa', 'Manangkari', 'Manda', 'Mangala', 'Mangarrayi', 'Mangerr', 'Maranunggu', 'Margany', 'Margu', 'Maridan', 'Maridjabin', 'Marimanindji', 'Maringarr', 'Mariyedi', 'Marra', 'Marriammu', 'Marrithiyel', 'Marti_Ke', 'Martu_Wangka', 'Martuyhunira', 'Matngala', 'Maung', 'Mayaguduna', 'Mayawali', 'Mayi-Kulan', 'Mayi-Thakurti', 'Mayi-Yapi', 'Mbara', 'Mbariman-Gudhinma', 'Meriam_Mir', 'Minang', 'Minjungbal', 'Minkin', 'Miriwoong', 'Miriwoong_Sign_Language', 'Mirning', 'Miwa', 'Morrobalama', 'Mpalitjanh', 'Mudburra', 'Muluridyi', 'Murrinh-Patha', 'Muruwari', 'Na-kara', 'Nari_Nari', 'Narungga', 'Nauo', 'Ndrangith', 'Ngaanyatjarra', 'Ngadjunmaya', 'Ngadjuri', 'Ngalakgan', 'Ngamini', 'Nganakarti', 'Ngandi', 'Ngantangarra', 'Nganyaywana', 'Ngangityemerri', 'Ngardi', 'Ngarigu', 'Ngarinyin', 'Ngarinyman', 'Ngarla', 'Ngarluma', 'Ngarrindjeri', 'Ngawun', 'Ngayawung', 'Ngumbarl', 'Ngunawal', 'Ngurmbur', 'Nhanda', 'Nhirrpi', 'Nhuwala', 'Nimanbur', 'North_Midlands_Tasmanian', 'Northeastern_Tasmanian', 'Northern_Tasmanian', 'Northwestern_Tasmanian', 'Nugunu', 'Nungali', 'Nunggubuyu', 'Nunukul', 'Nyamal', 'Nyangga', 'Nyangumarta', 'Nyawaygi', 'Nyikina', 'Nyiyaparli', 'Nyulnyul', 'Nyungar', 'Olkol', 'Oyster_Bay_Tasmanian', 'Paakantyi', 'Pakanha', 'Pallanganmiddang', 'Pinigura', 'Pinjarup', 'Pintiini', 'Pintupi-Luritja', 'Pirlatapa', 'Pirriya', 'Pitjantjatjara', 'Pitta_Pitta', 'Port_Sorell_Tasmanian', 'Punthamara', 'Rembarrnga', 'Ritharrngu', 'Southeast_Tasmanian', 'Southwestern_Tasmanian', 'Tagalaka', 'Thawa', 'Thaypan', 'Thiin', 'Tiwi', 'Tjungundji', 'Tjupany', 'Tjurruru', 'Torres_Strait_Creole', 'Umbindhamu', 'Umbugarla', 'Umiida', 'Umpila', 'Unggaranggu', 'Unggumi', 'Uradhi', 'Urningangg', 'Waanyi', 'Wadi_Wadi', 'Wadikali', 'Wadjabangayi', 'Wadjiginy', 'Wadjigu', 'Wagaya', 'Wagiman', 'Wajarri', 'Wajuk', 'Wakabunga', 'Wakawaka', 'Walangama', 'Walmajarri', 'Waluwarra', 'Wambaya', 'Wamin', 'Wandarang', 'Wangaaybuwan-Ngiyambaa', 'Wanggamala', 'Wangkangurru', 'Wangkayutyuru', 'Wangkumara', 'Waray', 'Wardaman', 'Wardandi', 'Wariyangga', 'Warlmanpa', 'Warlpiri', 'Warnman', 'Warrgamay', 'Warrwa', 'Warumungu', 'Warungu', 'Wathawurrung', 'Wemba_Wemba', 'Wergaia', 'Western_Arrarnta', 'Wik_Ngathan', 'Wik-Epa', 'Wik-Iiyanh', 'Wik-Keyangan', 'Wik-Meanha', 'Wik-Mungkan', 'Wikalkan', 'Wikngenchera', 'Wilawila', 'Wiradjuri', 'Wirangu', 'Woiwurrung', 'Worimi', 'Worrorra', 'Wotjobaluk', 'Wuliwuli', 'Wulna', 'Wunambal', 'Wunumara', 'Yabula_Yabula', 'Yagara', 'Yalarnnga', 'Yan-nhangu', 'Yan-nhangu_Sign_Language', 'Yanda', 'Yandjibara', 'Yandruwandha', 'Yangman', 'Yankunytjatjara', 'Yanyuwa', 'Yardliyawarra', 'Yarluyandi', 'Yatay', 'Yawarawarga', 'Yawijibaya', 'Yawuru', 'Yaygir', 'Yidiny', 'Yindjibarndi', 'Yindjilandji', 'Yinggarda', 'Yinhawangka', 'Yiningayi', 'Yinwum', 'Yir-Yoront', 'Yirandali', 'Yirrk-Mel', 'Yitha_Yitha', 'Yolngu_Sign_Language', 'Yorta_Yorta', 'Yugambal', 'Yugul', 'Yuru', 'Yuyu'])",403,"['Institutional', '6', 'Stable', '18', 'Endangered', '190', 'Extinct', '190']","dict_keys(['Australian', 'Language isolate', 'Sign language', 'Creole', 'Eastern Trans-Fly', 'Mixed language', 'Pidgin', 'Unclassified'])"
Austria,"Austria is a country in Europe that is home to 8,933,000 people. It is also home to 9 living indigenous languages. One of these, Standard German, is the official language of the country. In addition, 9 living non-indigenous languages are established within the country. In formal education, 1 indigenous language is used as a language of instruction.",AT,82409,1955,Europe,"dict_keys(['Alemannic', 'Austrian_Sign_Language', 'Bavarian', 'Burgenland_Croatian', 'Croatian', 'Hungarian', 'Slovene', 'Standard_German', 'Walser'])",9,"['Institutional', '2', 'Stable', '4', 'Endangered', '3', 'Extinct', '0']","dict_keys(['Indo-European', 'Sign language', 'Uralic'])"
